CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0000978ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 BLEDT
0000981ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/NINJA ZX-6R
0000983ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/ELIMINATOR500 S
0000984ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/ELIMINATOR500
0000985ON,BAJAJ,MOTOCICLETAS/SIMILARES,I/BAJAJ DOMINAR D400
0000987ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D400
0000988ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/MTS V4 RALLY
0000989ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D160
0000990ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D200
0000993ON,SMARDA,MOTOCICLETAS/SIMILARES,I/SMARDA X17 PLUS
0000994ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES T350 X
0000995ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES T350
0000996ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/XR300L TORNADO
0001010ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES V350
0001011ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES GK350
0001012ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES R350
0001015ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/SUPER METEOR 650
0001016ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/DIAVEL V4
0001017ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES 350E
0001018ON,JTA,MOTOCICLETAS/SIMILARES,JTA/ZONTES S350
0001019ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI/V-STROM 800 DE
0001024ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI/GSX-8 S
0001026ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/NINJA 500
0001027ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/Z500
0001028ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/Z500 SE
0001029ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/BIZ EX
0001030ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/BIZ ES
0001031ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/NXR 160 BROS CBS
0001032ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/NXR 160 BROS ABS
0001033ON,KAWASAKI,MOTOCICLETAS/SIMILARES,KAWASAKI/NINJA 500 SE
0001036ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/ROCKET 3 STORMGT
0001037ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/ROCKET 3 STORM R
0001041ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/DAYTONA 660
0001044ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D250
0001049ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/XRE 190 ADV
0001054ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/DHCLBC MOTRIZ U5K
0001080ON,TALARIA,MOTOCICLETAS/SIMILARES,I/TALARIA STING R L1E
0001083ON,DAFRA,MOTOCICLETAS/SIMILARES,DAFRA/CRUISYM 300 ABS
0001093ON,GUOWEI,MOTOCICLETAS/SIMILARES,I/GUOWEI GW-LG
0001106ON,LAMBRETTA,MOTOCICLETAS/SIMILARES,I/LAMBRETTA V200 SPECIAL
0001144ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/XTZ 250 LANDER
0001501ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,BP/TORKITA 50
0001502ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,BP/TRICICLO BP
